,X,lon,lat,Location,Pod1,Pod2,Pod3,Group,start_date,end_date,Ortho,Scene,order_id_s_h,valid_season
1,0,28.24915,-15.54929,Makulu_plot_13,A000302,,,Zam_20_21,2020-11-01,2021-05-31,195,195,ae2db049-18c1-433c-a7bb-25567410b6d9,Y
2,1,28.24953,-15.54936,Makulu_plot_7,A000291,,,Zam_20_21,2020-11-01,2021-05-31,139,195,23b412d2-7a5b-4085-83ba-b14c119d20ce,Y
3,2,28.24949,-15.54959,Makulu_plot_3,A000694,,,Zam_20_21,2020-11-01,2021-05-31,139,195,da665ea7-26db-4762-bfea-fac7ab74b692,N
4,3,28.28576,-15.58808,Makulu_farmer,A000415,,,Zam_20_21,2020-11-01,2021-05-31,121,166,91bb65ce-98cf-49c3-a983-bbba10817ebb,Y
5,4,28.49434,-14.39483,Kabwe_plot_3,A000778,A000292,,Zam_20_21,2020-11-01,2021-05-31,113,166,2b9d3eda-604c-4bbe-9ade-59eabc4b8088,Y
6,5,28.49434,-14.39464,Kabwe_plot_5,A000705,A000334,,Zam_20_21,2020-11-01,2021-05-31,113,166,b054d74d-9fbc-4669-a4be-7bd7336dbb08,N
7,6,28.5067,-14.38201,Kabwe_farmer,A000709,A000408,,Zam_20_21,2020-11-01,2021-05-31,107,154,005bd9e0-7100-47bf-b587-ca259e831405,Y
8,7,28.14757,-12.61372,Mufulira_plot_1,A000793,A000477,,Zam_20_21,2020-11-01,2021-05-31,84,118,9fcd27df-842f-4f81-80f1-e0d404a61afd,N
9,8,28.14746,-12.61358,Mufulira_plot_5,A000407,,,Zam_20_21,2020-11-01,2021-05-31,84,118,f4672a18-15f7-4283-bb82-68df66856cbe,Y
10,9,28.15108,-12.62577,Mufulira_farmer,A000693,A000434,,Zam_20_21,2020-11-01,2021-05-31,85,131,eac77c6f-57ba-43a5-9ed4-692ce86ae7e8,Y
11,10,27.06236,-16.83154,Choma_plot_5,A000784,A000228,,Zam_20_21,2020-11-01,2021-05-31,101,149,6becffee-9664-4b4c-b57b-636524b94d8b,Y
12,11,27.06235,-16.83133,Choma_plot_9,A000708,A000721,,Zam_20_21,2020-11-01,2021-05-31,101,150,90855fcd-2f63-4043-b846-d821292f3b35,N
13,12,27.06964,-16.79983,Choma_farmer,A000301,,,Zam_20_21,2020-11-01,2021-05-31,103,140,365ec77d-7d82-4801-b6ee-e189a17931db,Y
14,13,28.24957,-15.54952,Makulu_plot_1_21-22,A000693,,,Zam_21_22,2021-11-01,2022-05-31,111,149,ba189070-7763-4acd-8328-f85c6fb8958f,y
15,14,28.24956,-15.54955,Makulu_plot_2_21-22,A000709,,,Zam_21_22,2021-11-01,2022-05-31,111,149,acd6e4a5-0463-442f-9d77-bedfbc6adff6,Y
16,15,28.24952,-15.5498,Makulu_plot_3_21-22,A000477,,,Zam_21_22,2021-11-01,2022-05-31,111,149,c1c74a5b-4fe0-40e8-9efd-fc1abede9959,discard
17,16,28.24945,-15.54958,Makulu_plot_4_21-22,A000434,,,Zam_21_22,2021-11-01,2022-05-31,111,149,18eb56ae-4a11-40fa-ab7b-d16b20ce901d,N
18,17,28.24956,-15.54983,Makulu_plot_5_21-22,A000407,,,Zam_21_22,2021-11-01,2022-05-31,111,149,655b8132-5cec-4cb8-bff7-1664f92b2dff,Y
19,18,28.24936,-15.54965,Makulu_plot_6_21-22,A000301,,,Zam_21_22,2021-11-01,2022-05-31,111,149,519a143a-8f70-4a3d-82c0-e9679391056c,Y
20,19,28.24932,-15.54968,Makulu_plot_7_21-22,A000721,,,Zam_21_22,2021-11-01,2022-05-31,111,149,5ed69fba-6d93-4355-973c-c64b78b2caa1,Y
21,20,28.24932,-15.54973,Makulu_plot_8_21-22,A000408,,,Zam_21_22,2021-11-01,2022-05-31,111,149,5708289a-8cfb-48bf-b385-3bcc9cb96cfa,Y
22,21,28.24927,-15.54975,Makulu_plot_9_21-22,A000784,,,Zam_21_22,2021-11-01,2022-05-31,111,149,f94b3be1-fc79-4423-94a3-d07f2c916323,Y
23,22,27.0922,-16.7795,choma_A000127,A000127,,,choma,2017-11-01,2018-05-31,0,85,0d688599-b6bb-47d8-a3cd-a6a8d736ec5b,Y
24,23,26.9253,-16.8294,choma_A000212,A000212,,,choma,2017-11-01,2018-05-31,0,2,97cfdbe9-39d1-41ab-8e6e-3d355b598b85,Y
25,24,27.1179,-16.7724,choma_A000247,A000247,,,choma,2017-11-01,2018-05-31,0,76,95c69caa-67fa-405f-ae2d-0456838c7272,Y
26,25,26.989,-16.8297,choma_A000302,A000302,,,choma,2017-11-01,2018-05-31,0,8,93903df1-57e2-4780-aaa6-3972ae8d4204,Y
