Location,new_start,new_end,X,lon,lat,Pod1,Pod2,Pod3,Group,start_date,end_date,Ortho,Scene,order_id_s_h,Valid_season?,Multiple_seasons?
choma_A000127,2017-09-02,2018-03-02,22,27.0922,-16.7795,A000127,,,choma,11/01/2017,05/31/2018,0,85,0d688599-b6bb-47d8-a3cd-a6a8d736ec5b,,
choma_A000127,2018-03-02,2018-07-30,22,27.0922,-16.7795,A000127,,,choma,11/01/2017,05/31/2018,0,85,0d688599-b6bb-47d8-a3cd-a6a8d736ec5b,,
choma_A000212,2017-09-02,2018-03-02,23,26.9253,-16.8294,A000212,,,choma,11/01/2017,05/31/2018,0,2,97cfdbe9-39d1-41ab-8e6e-3d355b598b85,,
choma_A000212,2018-03-02,2018-07-30,23,26.9253,-16.8294,A000212,,,choma,11/01/2017,05/31/2018,0,2,97cfdbe9-39d1-41ab-8e6e-3d355b598b85,,
choma_A000247,2017-09-02,2018-03-02,24,27.1179,-16.7724,A000247,,,choma,11/01/2017,05/31/2018,0,76,95c69caa-67fa-405f-ae2d-0456838c7272,,
choma_A000247,2018-03-02,2018-07-30,24,27.1179,-16.7724,A000247,,,choma,11/01/2017,05/31/2018,0,76,95c69caa-67fa-405f-ae2d-0456838c7272,,
choma_A000302,2017-09-02,2018-03-02,25,26.989,-16.8297,A000302,,,choma,11/01/2017,05/31/2018,0,8,93903df1-57e2-4780-aaa6-3972ae8d4204,,
choma_A000302,2018-03-02,2018-07-30,25,26.989,-16.8297,A000302,,,choma,11/01/2017,05/31/2018,0,8,93903df1-57e2-4780-aaa6-3972ae8d4204,,
choma_A000308,2017-09-02,2018-03-02,26,26.7025,-16.8123,A000308,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000308,2018-03-02,2018-07-30,26,26.7025,-16.8123,A000308,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000352,2017-09-02,2018-03-02,27,27.3579,-16.6258,A000352,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000352,2018-03-02,2018-07-30,27,27.3579,-16.6258,A000352,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000401,2017-09-02,2018-03-02,28,27.2905,-16.5303,A000401,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000401,2018-03-02,2018-07-30,28,27.2905,-16.5303,A000401,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000407,2017-09-02,2018-03-02,29,26.903,-16.8556,A000407,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000407,2018-03-02,2018-07-30,29,26.903,-16.8556,A000407,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000412,2017-09-02,2018-03-02,30,26.792,-16.4051,A000412,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000412,2018-03-02,2018-07-30,30,26.792,-16.4051,A000412,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000413,2017-09-02,2018-03-02,31,27.4877,-16.6525,A000413,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000413,2018-03-02,2018-07-30,31,27.4877,-16.6525,A000413,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000414,2017-09-02,2018-03-02,32,27.0984,-17.2673,A000414,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000414,2018-03-02,2018-07-30,32,27.0984,-17.2673,A000414,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000421,2017-09-02,2018-03-02,33,26.9649,-16.754,A000421,,,choma,11/01/2017,05/31/2018,0,32,d24c8c01-afb3-403b-8a09-63ec3e39cae7,,
choma_A000421,2018-03-02,2018-07-30,33,26.9649,-16.754,A000421,,,choma,11/01/2017,05/31/2018,0,32,d24c8c01-afb3-403b-8a09-63ec3e39cae7,,
choma_A000443,2017-09-02,2018-03-02,34,26.9753,-16.7576,A000443,,,choma,11/01/2017,05/31/2018,0,35,862cebf0-812e-437b-82f1-6e5fd090bc59,,
choma_A000443,2018-03-02,2018-07-30,34,26.9753,-16.7576,A000443,,,choma,11/01/2017,05/31/2018,0,35,862cebf0-812e-437b-82f1-6e5fd090bc59,,
choma_A000473,2017-09-02,2018-03-02,35,26.8958,-16.2633,A000473,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000473,2018-03-02,2018-07-30,35,26.8958,-16.2633,A000473,,,choma,11/01/2017,05/31/2018,0,0,,,
choma_A000493,2017-09-02,2018-03-02,36,27.107,-16.7713,A000493,,,choma,11/01/2017,05/31/2018,0,79,b153c57e-f687-42c6-b550-c2fe326023ae,,
choma_A000493,2018-03-02,2018-07-30,36,27.107,-16.7713,A000493,,,choma,11/01/2017,05/31/2018,0,79,b153c57e-f687-42c6-b550-c2fe326023ae,,
Choma_farmer,2020-09-02,2021-03-02,12,27.06964,-16.79983,A000301,,,Zam_20_21,11/01/2020,05/31/2021,103,140,365ec77d-7d82-4801-b6ee-e189a17931db,,
Choma_farmer,2021-03-02,2021-07-30,12,27.06964,-16.79983,A000301,,,Zam_20_21,11/01/2020,05/31/2021,103,140,365ec77d-7d82-4801-b6ee-e189a17931db,,
Choma_plot_5,2020-09-02,2021-03-02,10,27.06236,-16.83154,A000784,A000228,,Zam_20_21,11/01/2020,05/31/2021,101,149,6becffee-9664-4b4c-b57b-636524b94d8b,,
Choma_plot_5,2021-03-02,2021-07-30,10,27.06236,-16.83154,A000784,A000228,,Zam_20_21,11/01/2020,05/31/2021,101,149,6becffee-9664-4b4c-b57b-636524b94d8b,,
