"","new_start","new_end","Location"
"1",2020-09-02,2021-03-02,"Makulu_plot_13"
"2",2021-03-02,2021-07-30,"Makulu_plot_13"
"3",2020-09-02,2021-03-02,"Makulu_plot_7"
"4",2021-03-02,2021-07-30,"Makulu_plot_7"
"5",2020-09-02,2021-03-02,"Makulu_plot_3"
"6",2021-03-02,2021-07-30,"Makulu_plot_3"
"7",2020-09-02,2021-03-02,"Makulu_farmer"
"8",2021-03-02,2021-07-30,"Makulu_farmer"
"9",2020-09-02,2021-03-02,"Kabwe_plot_3"
"10",2021-03-02,2021-07-30,"Kabwe_plot_3"
"11",2020-09-02,2021-03-02,"Kabwe_plot_5"
"12",2021-03-02,2021-07-30,"Kabwe_plot_5"
"13",2020-09-02,2021-03-02,"Kabwe_farmer"
"14",2021-03-02,2021-07-30,"Kabwe_farmer"
"15",2020-09-02,2021-03-02,"Mufulira_plot_1"
"16",2021-03-02,2021-07-30,"Mufulira_plot_1"
"17",2020-09-02,2021-03-02,"Mufulira_plot_5"
"18",2021-03-02,2021-07-30,"Mufulira_plot_5"
"19",2020-09-02,2021-03-02,"Mufulira_farmer"
"20",2021-03-02,2021-07-30,"Mufulira_farmer"
"21",2020-09-02,2021-03-02,"Choma_plot_5"
"22",2021-03-02,2021-07-30,"Choma_plot_5"
"23",2020-09-02,2021-03-02,"Choma_plot_9"
"24",2021-03-02,2021-07-30,"Choma_plot_9"
"25",2020-09-02,2021-03-02,"Choma_farmer"
"26",2021-03-02,2021-07-30,"Choma_farmer"
"27",2021-09-02,2022-03-02,"Makulu_plot_1_21-22"
"28",2022-03-02,2022-07-30,"Makulu_plot_1_21-22"
"29",2021-09-02,2022-03-02,"Makulu_plot_2_21-22"
"30",2022-03-02,2022-07-30,"Makulu_plot_2_21-22"
"31",2021-09-02,2022-03-02,"Makulu_plot_3_21-22"
"32",2022-03-02,2022-07-30,"Makulu_plot_3_21-22"
"33",2021-09-02,2022-03-02,"Makulu_plot_4_21-22"
"34",2022-03-02,2022-07-30,"Makulu_plot_4_21-22"
"35",2021-09-02,2022-03-02,"Makulu_plot_5_21-22"
"36",2022-03-02,2022-07-30,"Makulu_plot_5_21-22"
"37",2021-09-02,2022-03-02,"Makulu_plot_6_21-22"
"38",2022-03-02,2022-07-30,"Makulu_plot_6_21-22"
